BLOCK,TAZ,HHS1BASE,HHS2BASE,HHS3BASE,HHS4BASE,POPBASE
410159503011275,101,15,24,4,4,92
410159503011277,101,0,5,2,3,30
410159503011278,101,3,10,1,2,34
410159503011281,101,0,2,0,0,4
410159503011282,101,2,8,1,3,34
410159503011283,101,0,0,0,0,0
410159503011284,101,0,0,0,0,0
410159503011285,101,0,3,0,1,12
410159503011286,101,0,0,0,0,0
410159503011287,101,0,0,0,0,0
410159503011288,101,9,18,0,0,45
410159503011289,101,5,12,2,5,58
410159503011290,101,0,2,0,0,4
410159503011303,101,0,5,1,0,13
410159503011304,101,1,2,0,0,5
410159503011305,101,1,0,0,0,1
410159503011306,101,10,27,4,2,84
410159503011307,101,2,7,1,1,23
410159503011309,101,0,1,1,1,10
410159503011310,102,0,0,0,0,0
410159503011311,105,0,0,0,0,0
410159503011312,105,0,4,0,0,8
410159503011328,106,8,9,2,6,60
410159503011329,105,5,9,5,4,55
410159503011331,106,0,0,0,0,0
410159503011332,107,0,0,0,0,0
410159503011333,107,0,0,0,0,0
410159503011334,106,0,0,0,0,0
410159503011335,107,0,0,0,0,0
410159503011336,107,0,0,0,0,0
410159503011337,107,0,0,0,0,0
410159503011338,107,0,0,0,0,0
410159503011339,107,0,0,0,0,0
410159503011340,107,0,0,0,0,0
410159503011341,107,0,0,0,0,0
410159503011342,107,0,0,0,0,0
410159503011343,107,0,0,0,0,0
410159503011344,105,0,0,0,1,5
410159503011345,107,0,0,0,0,0
410159503011346,105,7,13,2,4,59
410159503011347,105,1,0,0,0,1
410159503011348,105,6,8,6,12,103
410159503011349,105,0,0,0,0,0
410159503011350,105,0,1,0,0,2
410159503011351,104,0,0,0,0,0
410159503011352,104,0,0,0,0,0
410159503011353,108,0,0,0,0,0
410159503011354,108,4,3,0,1,14
410159503011355,108,0,0,0,0,0
410159503011356,108,0,1,0,0,2
410159503011357,108,2,2,0,0,6
410159503011358,108,0,0,0,0,0
410159503011359,108,0,0,0,1,4
410159503011360,108,2,6,1,2,26
410159503011361,108,20,46,12,27,268
410159503011362,108,0,0,0,0,0
410159503011363,107,0,0,0,0,0
410159503011364,107,0,0,0,0,0
410159503011991,100,0,0,0,0,0
410159503012039,122,24,64,11,27,304
410159503012053,122,2,6,0,1,19
410159503012054,122,0,0,0,0,0
410159503012055,122,0,0,0,0,0
410159503012056,122,0,1,0,0,2
410159503012057,122,1,0,1,0,4
410159503012059,122,2,0,0,0,2
410159503012060,122,1,0,0,0,1
410159503012061,122,0,0,0,0,0
410159503012062,123,0,0,0,0,0
410159503012063,123,2,0,0,0,2
410159503012064,122,0,0,0,0,0
410159503012065,122,0,0,0,0,0
410159503012066,123,0,0,0,0,0
410159503012992,123,0,0,0,0,0
410159503013000,112,0,4,1,2,22
410159503013001,112,0,1,0,0,2
410159503013002,121,2,6,0,1,18
410159503013003,121,1,0,2,0,7
410159503013004,121,0,0,0,0,0
410159503013005,121,2,3,0,2,16
410159503013006,121,0,0,0,0,0
410159503013007,121,0,0,0,0,0
