"","hbwpa","hbwap","hbschpa","hbschap","hbshppa","hbshpap","hbropa","hbroap","nhbpa","nhbap"
"1",0,1,0.6248,0.3752,0,1,0,1,0.5,0.5
"2",0,1,0.6248,0.3752,0.5043,0.4957,0,1,0.5,0.5
"3",0.702,0.298,0.6248,0.3752,0.5043,0.4957,0.5238,0.4762,0.5,0.5
"4",0.2893,0.7107,1,0,0,1,0.5238,0.4762,0.5,0.5
"5",0.8322,0.1678,0.6248,0.3752,0.5043,0.4957,1,0,0.5,0.5
"6",1,0,1,0,0.5043,0.4957,0.9736,0.0264,0.5,0.5
"7",0.9602,0.0398,0.7574,0.2426,1,0,0.9626,0.0374,0.5,0.5
"8",0.9674,0.0326,0.9336,0.0664,1,0,0.8412,0.1588,0.5,0.5
"9",0.9879,0.0121,0.8175,0.1825,0.859,0.141,0.827,0.173,0.5,0.5
"10",0.7819,0.2181,0.6248,0.3752,0.7888,0.2112,0.7273,0.2727,0.5,0.5
"11",0.6702,0.3298,0.6248,0.3752,0.6519,0.3481,0.6627,0.3373,0.5,0.5
"12",0.6305,0.3695,0.1053,0.8947,0.5303,0.4697,0.5408,0.4592,0.5,0.5
"13",0.5694,0.4306,1,0,0.5443,0.4557,0.5785,0.4215,0.5,0.5
"14",0.7433,0.2567,0.392,0.608,0.6599,0.3401,0.6549,0.3451,0.5,0.5
"15",0.4996,0.5004,0.7828,0.2172,0.3136,0.6864,0.4606,0.5394,0.5,0.5
"16",0.2525,0.7475,0.3533,0.6467,0.4092,0.5908,0.3935,0.6065,0.5,0.5
"17",0.1223,0.8777,0.119,0.881,0.2995,0.7005,0.3318,0.6682,0.5,0.5
"18",0.0479,0.9521,0,1,0.234,0.766,0.4727,0.5273,0.5,0.5
"19",0.0649,0.9351,0.5019,0.4981,0.4313,0.5687,0.648,0.352,0.5,0.5
"20",0.1271,0.8729,1,0,0.5303,0.4697,0.3761,0.6239,0.5,0.5
"21",0.1599,0.8401,0.4606,0.5394,0.2703,0.7297,0.1497,0.8503,0.5,0.5
"22",0,1,0,1,0.2693,0.7307,0.1154,0.8846,0.5,0.5
"23",0.5527,0.4473,0,1,0.2198,0.7802,0.1025,0.8975,0.5,0.5
"24",0.1691,0.8309,0.6248,0.3752,0,1,0.1154,0.8846,0.5,0.5
