,hbw,hbsch,hbshp,hbro,nhb
1,0.00096,0,0.00092,0.00047,0
2,0.00502,0,0,0.00225,0.00101
3,0.00393,0,0,0,0
4,0.00218,0.01301,0.00315,0,0.00495
5,0.01564,0,0,0.00677,0.002
6,0.02527,0.01033,0,0.01583,0.00369
7,0.05317,0.02551,0.00166,0.01846,0.00334
8,0.1388,0.14999,0.00061,0.04514,0.0195
9,0.07111,0.28449,0.03287,0.07234,0.04919
10,0.04965,0,0.08694,0.04697,0.04805
11,0.02963,0,0.11119,0.06094,0.09048
12,0.03583,0.02487,0.08834,0.05697,0.1035
13,0.04644,0.00163,0.0717,0.06768,0.09527
14,0.0617,0.02211,0.11956,0.04354,0.07665
15,0.04237,0.05313,0.08172,0.05706,0.08197
16,0.08334,0.21,0.09978,0.07356,0.10744
17,0.05962,0.1328,0.08476,0.06746,0.08798
18,0.13738,0.02306,0.05433,0.08441,0.0829
19,0.04437,0.02393,0.05375,0.07833,0.04311
20,0.02931,0.00705,0.04078,0.05585,0.033
21,0.01962,0.00988,0.03633,0.07136,0.02444
22,0.01267,0.0048,0.02517,0.04247,0.01373
23,0.01122,0.00345,0.00602,0.02542,0.0125
24,0.02077,0,0.00042,0.0067,0.01528
