VOL12_1AM,VOL1_2AM,VOL2_3AM,VOL3_4AM,VOL4_5AM,VOL5_6AM,VOL6_7AM,VOL7_8AM,VOL8_9AM,VOL9_10AM,VOL10_11AM,VOL11_12PM,VOL12_1PM,VOL1_2PM,VOL2_3PM,VOL3_4PM,VOL4_5PM,VOL5_6PM,VOL6_7PM,VOL7_8PM,VOL8_9PM,VOL9_10PM,VOL10_11PM,VOL11_12AM,ExtSta,DIRECTION,BaseVolume
2,4,3,4,8,24,39,33,46,62,70,70,83,78,78,108,106,111,68,51,42,28,22,8,1,OUT,1190
4,6,4,5,11,34,58,85,82,104,75,82,89,67,84,71,91,93,64,43,41,19,15,5,1,IN,1190
5,1,9,13,26,30,64,83,95,90,88,84,100,93,92,124,118,118,73,53,47,33,14,9,2,OUT,1463.5
8,2,5,6,19,35,73,127,94,101,97,90,81,86,102,95,119,109,85,50,30,25,14,12,2,IN,1463.5
0,0,0,8,20,34,55,67,88,74,99,107,105,108,133,183,169,187,77,64,34,20,8,1,3,OUT,1744
0,0,2,11,31,52,82,168,132,130,138,130,99,125,121,154,140,105,72,105,30,14,6,0,3,IN,1744
0,0,3,6,20,18,21,21,27,39,31,31,39,37,41,72,50,61,34,30,21,11,10,1,4,OUT,620
0,0,6,11,15,24,39,64,30,35,38,35,38,44,52,46,53,39,24,13,6,2,2,0,4,IN,620
2,2,3,26,22,52,78,97,115,135,156,142,140,155,156,160,149,131,108,78,55,42,12,10,5,OUT,2001
8,3,7,8,13,32,67,102,112,137,133,156,140,154,136,161,170,161,123,65,44,23,16,5,5,IN,2001
3,1,0,2,5,8,16,26,32,31,43,43,44,38,39,41,40,47,30,25,23,17,10,5,6,OUT,569.5
3,1,0,2,5,8,16,26,32,31,43,43,44,38,39,41,40,47,30,25,23,17,10,5,6,IN,569.5
1,0,0,3,1,3,7,24,11,13,7,19,16,13,19,25,19,19,9,19,8,1,0,1,7,OUT,233
0,0,0,3,0,3,9,16,7,15,16,19,12,12,23,15,23,25,15,7,5,1,0,2,7,IN,233
1,0,7,13,27,31,36,36,33,34,49,58,58,34,71,42,34,31,12,9,8,6,6,1,8,OUT,667
0,1,6,14,26,31,37,36,40,36,41,44,50,75,86,61,38,31,14,10,7,7,6,0,8,IN,667
16,21,16,31,63,161,322,347,366,378,373,372,408,413,377,428,436,406,249,130,99,71,49,25,9,OUT,5548.5
12,17,12,25,50,129,259,349,294,271,258,366,328,383,428,450,498,510,290,202,166,118,83,42,9,IN,5548.5
1,2,1,4,5,23,43,52,26,57,56,54,62,62,66,77,76,75,54,44,35,17,6,4,10,OUT,901.5
1,2,1,4,5,23,43,52,26,57,56,54,62,62,66,77,76,75,54,44,35,17,6,4,10,IN,901.5
